Norberto,Napolitano,nnapo@fiuba.com
Mail,Usado,msosa@fiuba.com
Facundo,Cabral,fcabral@fiuba.com
Adrían,Otero,aotero@fiuba.com
Nery,Pumpido,npumpido@fiuba.com
Jose,Basualdo,jbasualdo@fiuba.com
Gabriel,Calderon,gcalderon@fiuba.com
Gustavo,Dezotti,gdezotti@fiuba.com
Néstor,Fabbri,nfabbri@fiuba.com
Néstor,Lorenzo,nlorenzo@fiuba.com
Ricardo,Giusti,rgiusti@fiuba.com
Julio,Olarticoechea,jolarticoechea@fiuba.com
José,Serrizuela,jserrizuela@fiuba.com
Juan,Simón,jsimon@fiuba.com
Fabián,Cancelarich,fcancelarich@fiuba.com
Sergio,Vázquez,svazques@fiuba.com
José,Chamot,jchamot@fiuba.com
Roberto,Sensini,rsensini@fiuba.com
Fernando,Redondo,fredondo@fiuba.com
Fernando,Cáceres,fcaceres@fiuba.com
Jorge,Borelli,jborelli@fiuba.com
Hugo,Pérez,hperez@fiuba.com
Leonardo,Rodríguez,lrodriguez@fiuba.com
Norberto,Scoponi,nscoponi@fiuba.com
Luis,Islas,lislas@fiuba.com
Carlos,Roa,croa@fiuba.com
Roberto,Ayala,rayala@fiuba.com
Nelson,Vivas,nvivas@fiuba.com
Sergio,Berti,sberti@fiuba.com
Javier,Zanetti,jzanetti@fiuba.com
